TYPE,KEY,SUMMARY,STATUS
Subtask,TTP-169,Link categories to parts records,Done
Subtask,TTP-168,Allow creation and editing of categories and subcategories,Done
Subtask,TTP-167,Build category management UI,Done
Subtask,TTP-166,Reflect changes in inventory,In Progress
Subtask,TTP-165,Save adjustment history to database,In Progress
Subtask,TTP-164,Add mandatory reason log field,In Progress
Subtask,TTP-163,Build stock adjustment form UI,In Progress
Subtask,TTP-162,Reflect changes instantly across catalog and dashboard,In Progress
Subtask,TTP-161,Implement stock increment logic on new stock receipt,In Progress
Subtask,TTP-160,Implement stock deduction logic on sale completion,In Progress
Subtask,TTP-159,Allow image upload per part,In Progress
Subtask,TTP-158,Save records to database,In Progress
Subtask,TTP-157,Add input validation,In Progress
Subtask,TTP-156,"Display by day, week, and month view",To Do
Subtask,TTP-155,Implement logic to identify high-traffic periods,To Do
Subtask,TTP-154,Build peak period visualization UI,To Do
Task,TTP-153,Peak Sales Period Analysis,To Do
Subtask,TTP-152,Add date range filter,To Do
Subtask,TTP-151,Build add/edit parts form UI,In Progress
Subtask,TTP-150,Implement logic to flag parts with low sales movement,To Do
Subtask,TTP-149,Build slow-moving stock report UI,To Do
Task,TTP-148,Slow-Moving Stock Report,To Do
Subtask,TTP-147,Add date range filter,To Do
Subtask,TTP-146,Implement ranking logic by sales volume,To Do
Subtask,TTP-145,Build best-selling parts report UI,To Do
Task,TTP-144,Best-Selling Parts Report,To Do
Subtask,TTP-142,Restrict access to admin and owner roles,To Do
Subtask,TTP-141,"Implement daily, weekly, and monthly revenue charts",To Do
Subtask,TTP-140,Build revenue dashboard UI,To Do
Task,TTP-139,Revenue Overview Dashboard,To Do
Subtask,TTP-138,Allow viewing of past daily summaries,To Do
Subtask,TTP-137,"Display total revenue, transaction count, and top sellers",To Do
Subtask,TTP-136,Implement end-of-day summary logic,To Do
Task,TTP-135,Daily Sales Summary,To Do
Task,TTP-134,Parts Category Management,Done
Subtask,TTP-133,Pull records from database,To Do
Subtask,TTP-132,"Implement search and filter by date, cashier, and items",To Do
Subtask,TTP-131,Build transaction history UI,To Do
Task,TTP-130,Transaction History Log,To Do
Subtask,TTP-129,Reflect tags in sales reports,To Do
Subtask,TTP-128,. Implement tagging logic in transaction records,To Do
Subtask,TTP-127,Add customer type selection on sale screen,To Do
Task,TTP-126,Walk-in vs Account Sale,To Do
Subtask,TTP-125,Restrict reviews to verified purchasers,To Do
Subtask,TTP-124,Display aggregate score on product page,To Do
Subtask,TTP-123,Implement star rating and text input,To Do
Subtask,TTP-122,3. Display previous orders with part details,To Do
Subtask,TTP-121,Build review form UI,To Do
Subtask,TTP-120,2. Implement customer search by name or account,To Do
Subtask,TTP-119,1. Build repeat purchase lookup UI,To Do
Subtask,TTP-118,4. Role is correctly assigned upon registration or account creation,Done
Subtask,TTP-117,3. Customers cannot access admin-only pages even with direct URL,Done
Subtask,TTP-116,2. Customer users can only access the customer portal,Done
Subtask,TTP-115,1. Admin users can access the admin dashboard and all management features,Done
Task,TTP-114,Roles and Permission,Done
Subtask,TTP-113,3. Allow viewing of purchase history per customer,To Do
Subtask,TTP-112,2. Display customer list with account details,To Do
Subtask,TTP-111,1. Build customer management UI on admin dashboard,To Do
Subtask,TTP-110,"3. Display date, items, and total per transaction",To Do
Subtask,TTP-109,2. Pull transaction records linked to customer account,To Do
Subtask,TTP-108,1. Build purchase history UI for customer portal,To Do
Subtask,TTP-107,2. System rejects invalid inputs,Done
Subtask,TTP-106,4. Confirmation message is shown after a successful update,In Review
Subtask,TTP-105,3. Changes are saved and reflected immediately upon submission,In Review
Subtask,TTP-104,2. System rejects invalid inputs,Done
Subtask,TTP-103,"1. Customer can update display name, contact number, and email",In Review
Task,TTP-102,Profile Management,In Progress
Subtask,TTP-101,3. Display payment history per supplier profile,To Do
Subtask,TTP-100,"2. Add date, amount, and reference number fields",To Do
Subtask,TTP-99,1. Build payment logging UI per supplier,To Do
Subtask,TTP-98,4. Save orders to database,In Progress
Subtask,TTP-97,3. Add parts list and expected delivery date fields,In Progress
Subtask,TTP-96,2. Link orders to supplier directory,In Progress
Subtask,TTP-95,1. Build purchase order creation form,In Progress
Task,TTP-94,Product Reviews,To Do
Subtask,TTP-93,3. Allow editing and deletion of supplier records,In Progress
Subtask,TTP-92,"2. Add supplier entry form with contact details, categories, and payment terms",In Progress
Subtask,TTP-91,1. Build supplier directory UI,Done
Task,TTP-90,Password Reset,Done
Subtask,TTP-89,Connect filter to catalog results,To Do
Subtask,TTP-88,"Implement filter logic by type, make, and model",To Do
Subtask,TTP-87,Build vehicle filter UI,To Do
Subtask,TTP-86,3. Log actual delivery dates on receipt,To Do
Subtask,TTP-85,2. Implement status update UI,To Do
Subtask,TTP-84,"1. Add status field to purchase orders (pending, shipped, received).",To Do
Subtask,TTP-83,4. Invalid credentials display an appropriate error message,Done
Subtask,TTP-82,3. Successful login redirects admin to the dashboard,Done
Subtask,TTP-81,2. Admin credentials are not accessible via the public registration page,Done
Subtask,TTP-80,1. Admin can log in through a separate portal,Done
Task,TTP-79,Repeat Purchase Lookup,To Do
Subtask,TTP-78,1. Build search bar with autocomplete,Done
Subtask,TTP-77,4. Display matching results with stock status,Done
Subtask,TTP-76,3. Add filter options,Done
Task,TTP-75,Stock Adjustment,In Progress
Subtask,TTP-74,"2. Implement search by name, brand, and specification",Done
Subtask,TTP-72,3. Show real-time stock status and price,In Review
Subtask,TTP-71,"2. Display images, specs, and compatibility",In Review
Subtask,TTP-70,1. Build product detail page UI,Done
Task,TTP-69,Customer Control,To Do
Task,TTP-68,Parts Compatibility Filter,To Do
